label_a,label_b,relation,direction,evidence,n_confusions,sites,marker_jaccard,display_similarity,units_match,kind_match,proposed_by,status,reviewer,notes
coolingStage,coolingStageStatus,parent,a_to_b,probe,0,0,0.5,0.667,False,True,draft_equivalences.py,draft,,
dischargeFanSpeed,dischargeFanSpeedSp,parent,a_to_b,"display_sim,probe",0,0,0.5,0.857,True,True,draft_equivalences.py,draft,,
dischargeFlow,dischargeFlowStatus,parent,a_to_b,"display_sim,probe",0,0,0.667,0.8,False,False,draft_equivalences.py,draft,,
evapEnteringIsoValve,evapIsoValveStatus,site_variant,both,probe,0,0,,0.75,,,draft_equivalences.py,draft,,
evapIsoValve,evapIsoValveStatus,parent,a_to_b,probe,0,0,,0.857,,,draft_equivalences.py,draft,,
filterAlarm,unitFilterAlarm,parent,a_to_b,probe,0,0,,0.8,,,draft_equivalences.py,draft,,
freezeProtect,freezeProtectEnable,parent,a_to_b,"display_sim,probe",0,0,0.6,0.8,False,True,draft_equivalences.py,draft,,
powerReal,zonePowerReal,parent,a_to_b,probe,0,0,,0.8,,,draft_equivalences.py,draft,,
zoneCO2MaxSp,zoneCO2Sp,parent,b_to_a,"display_sim,probe",0,0,0.667,0.857,True,True,draft_equivalences.py,draft,,
zoneTempHiSp,zoneTempMaxSp,site_variant,both,"display_sim,probe",0,0,0.714,0.75,True,True,draft_equivalences.py,draft,,
zoneTempLoSp,zoneTempMinSp,site_variant,both,"display_sim,probe",0,0,0.714,0.75,True,True,draft_equivalences.py,draft,,
