label_a,label_b,relation,direction,evidence,n_confusions,sites,marker_jaccard,display_similarity,units_match,kind_match,proposed_by,status,reviewer,notes
exhaustFan,exhaustFanEnable,parent,a_to_b,"confusion,display_sim,probe",8,0,0.667,0.857,False,True,draft_equivalences.py,draft,,
exhaustTemp,wheelExhaustTemp,parent,a_to_b,"confusion,cross_site,display_sim",5,1,0.8,0.8,True,True,draft_equivalences.py,draft,,
heatingValve,perimeterHeatingValve,parent,a_to_b,"confusion,cross_site,display_sim",2,2,0.6,0.857,True,True,draft_equivalences.py,draft,,
outsideFlow,outsideFlowMaxSp,parent,a_to_b,confusion,8,0,0.429,0.667,True,True,draft_equivalences.py,draft,,
priLeavingIsoValve,secLeavingIsoValve,site_variant,both,"confusion,display_sim",8,0,0.75,0.8,True,True,draft_equivalences.py,draft,,
priLeavingTemp,priLeavingTempSp,parent,a_to_b,"confusion,display_sim",8,0,0.571,0.857,True,True,draft_equivalences.py,draft,,
returnTemp,returnTempSp,parent,a_to_b,"confusion,display_sim",8,0,0.429,0.8,True,True,draft_equivalences.py,draft,,
zoneTemp,zoneTempSp,parent,a_to_b,"confusion,cross_site,display_sim",2,2,0.429,0.8,True,True,draft_equivalences.py,draft,,
compDischargePressure,dischargePressure,parent,b_to_a,"confusion,display_sim",7,0,0.429,0.8,False,True,draft_equivalences.py,draft,,
compPowerReal,powerReal,parent,b_to_a,"confusion,display_sim",7,0,0.6,0.8,True,True,draft_equivalences.py,draft,,
condLeavingIsoValve,priLeavingIsoValve,site_variant,both,"confusion,cross_site,display_sim",4,1,0.75,0.8,True,True,draft_equivalences.py,draft,,
condLeavingIsoValve,twrLeavingIsoValve,site_variant,both,confusion,7,0,0.875,0.8,True,True,draft_equivalences.py,draft,,
condPressureDeltaSp,priPressureDeltaSp,site_variant,both,"confusion,display_sim",7,0,0.75,0.75,True,True,draft_equivalences.py,draft,,
coolingCoilDischargeTempSp,dischargeTempSp,parent,b_to_a,"confusion,cross_site",4,1,0.556,0.75,True,True,draft_equivalences.py,draft,,
dischargeFanSpeed,dischargeFanSpeedStage,parent,a_to_b,"confusion,display_sim",7,0,0.571,0.857,False,False,draft_equivalences.py,draft,,
dischargeFlowHeatMaxSp,dischargeFlowMaxSp,parent,b_to_a,"cross_site,display_sim",1,2,0.714,0.909,True,True,draft_equivalences.py,draft,,
exhaustDamperFb,exhaustIsoDamperFb,parent,a_to_b,"confusion,display_sim",7,0,0.714,0.857,True,False,draft_equivalences.py,draft,,
faceBypassDamper,faceDamper,parent,b_to_a,"cross_site,display_sim",1,2,0.6,0.857,True,True,draft_equivalences.py,draft,,
outsideDamperFb,outsideDamperStatus,site_variant,both,"confusion,cross_site",4,1,,0.667,,,draft_equivalences.py,draft,,
perimeterHeatingValve,radiantHeatingValve,site_variant,both,"confusion,cross_site,display_sim",4,1,0.5,0.75,True,True,draft_equivalences.py,draft,,
secPumpSpeed,secPumpSpeedFb,parent,a_to_b,"cross_site,display_sim",1,2,0.667,0.857,True,True,draft_equivalences.py,draft,,
ahuDischargeTemp,dischargeTemp,parent,b_to_a,"confusion,cross_site,display_sim",3,1,0.429,0.8,True,True,draft_equivalences.py,draft,,
condEnteringIsoValve,condIsoValve,parent,b_to_a,confusion,6,0,,0.857,,,draft_equivalences.py,draft,,
condIsoValve,condLeavingIsoValveFb,parent,a_to_b,confusion,6,0,,0.75,,,draft_equivalences.py,draft,,
condLeavingIsoValve,evapLeavingIsoValve,site_variant,both,"confusion,display_sim",6,0,0.75,0.8,True,True,draft_equivalences.py,draft,,
condLeavingIsoValve,secLeavingIsoValve,site_variant,both,"confusion,display_sim",6,0,0.75,0.8,True,True,draft_equivalences.py,draft,,
coolingCoilDischargeTemp,coolingCoilLeavingTemp,site_variant,both,"cross_site,display_sim",0,2,0.5,0.75,True,True,draft_equivalences.py,draft,,
coolingStageStatus,coolingStatus,parent,b_to_a,confusion,6,0,,0.8,,,draft_equivalences.py,draft,,
dischargeDamperFb,dischargeIsoDamperFb,parent,a_to_b,confusion,6,0,0.5,0.857,True,False,draft_equivalences.py,draft,,
dischargeFanSpeed,dischargeFanSpeedFb,parent,a_to_b,"cross_site,display_sim,probe",0,2,0.571,0.857,True,True,draft_equivalences.py,draft,,
dischargeFlowCoolMinSp,dischargeFlowHeatMinSp,site_variant,both,"cross_site,display_sim",0,2,0.714,0.833,True,True,draft_equivalences.py,draft,,
dischargeTemp,dischargeTempSp,parent,a_to_b,"cross_site,display_sim",0,2,0.5,0.8,True,True,draft_equivalences.py,draft,,
econEnableEnthalpySp,econEnableSp,parent,b_to_a,"confusion,display_sim",6,0,0.667,0.75,False,True,draft_equivalences.py,draft,,
energy,energyMax,parent,a_to_b,confusion,6,0,0.333,0.667,True,True,draft_equivalences.py,draft,,
evapEnteringIsoValve,evapIsoValve,parent,b_to_a,"confusion,cross_site",3,1,,0.857,,,draft_equivalences.py,draft,,
heatingStageStatus,heatingStatus,parent,b_to_a,confusion,6,0,,0.8,,,draft_equivalences.py,draft,,
humidifier,humidifierEnable,parent,a_to_b,"confusion,display_sim",6,0,0.333,0.8,False,True,draft_equivalences.py,draft,,
minOutsideDamper,minOutsideDamperMinSp,parent,a_to_b,"confusion,display_sim",6,0,0.571,0.75,True,True,draft_equivalences.py,draft,,
